ID,Plant Name,Variety Name,Scientific Name,Plant Family,Plant Type,Growth Habit,Origin/Heirloom Status,Organic,Seed Company/Source,Year Acquired,Seed Size,Seed Longevity,Germ Temp (Min),Germ Temp (Max),Germ Temp (Ideal),Germ Time (Days),Light Req for Germ,Stratification Req,Scarification Req,Sowing Depth,Spacing - In Row,Spacing (Low),Spacing (High),Direct Seedable,Transplantable,Days to Transplant (Low),Days to Transplant (High),Time to Maturity,Mature Plant Height,Mature Plant Spread,Sunlight Req,Water Needs,Fertilizer Needs,Pest Resistance,Disease Resistance,Cold Hardiness,Heat Tolerance,Drought Tolerance,Bolting Tendency,Support Required,Pruning Required,Harvest Window (Low),Harvest Window (High),Typical Yield,Yield Units,Storage Life,Requires Pollinator,Notes/Observations,URL,Weekly Yield
,Celtuce,"Stem Lettuce, Asparagus Lettuce",Lactuca sativa var. angustana,Asteraceae,Annual,Upright,Open-pollinated,,Asian Seed Suppliers,,Small,3-6 years,50,70,65,45852,Light,No,No,0.25-0.5in,6-12in,6,12,Yes,Yes,21,28,70-90 days,1-2ft,0.5-1ft,Full Sun-Partial Sun,Moderate,Low,Moderate,Low,Frost Tolerant,Moderate,Moderate,High,No,Yes (harvest before flowering),,,1,stem/plant,Short,No (Self-pollinating),Grown for its thick, tender stem.,0
,Chamomile,German Chamomile,Matricaria chamomilla,Asteraceae,Annual (self-seeding),Bush,Heirloom,,General,,Tiny,2-3 years,60,70,65,45944,Light,No,No,Surface,6-12in,6,12,Yes,Yes,21,28,45-60 days,0.5-1ft,0.5-1ft,Full Sun-Partial Sun,Low,Low,High,High,Frost Tolerant,High,High,Low,No,No,,,Continuous,flowers,Long (dried),No (Self-pollinating),Flowers used for tea. Readily self-sows.,,[1;1.5;1.5;1]
,Chayote,,Sechium edule,Cucurbitaceae,Perennial (tender),Vining,Heirloom,,General,,Fruit (plant whole),N/A,70,90,80,14-28,Darkness,No,No,Half-buried fruit,48-72in,48,72,"No, plant fruit",Yes (plant fruit),,,,120-150 days,10-20ft+,5-10ft,Full Sun,High,Moderate,Moderate,Moderate,Frost Tender,High,Moderate,Low,"Yes, sturdy trellis",Long,,,10-30+,fruits/plant,Medium,Yes (bees required),Entire fruit is planted to start a new vine.,[2;3;4;4;3;2]
,Chervil,,Anthriscus cerefolium,Apiaceae,Annual (biennial),Bush,Heirloom,,General,,Small,1-2 years,50,70,60,45852,Darkness,No,No,0.25in,6-8in,6,8,Yes,"Yes, with care",21,28,40-60 days,0.5-1ft,0.5-1ft,Partial Shade,Moderate,Low,Moderate,Moderate,Frost Tolerant,Low,Low,High,No,Yes (harvest outer leaves),,,Continuous,leaves,Short,No (Self-pollinating),Delicate anise flavor. Bolts in heat.,,[0.5;0.5;0.5]
,Chicory,Radicchio 'Red Verona',Cichorium intybus,Asteraceae,Biennial (grown as annual),"Rosette, Root",Heirloom,,General,,Small,4-5 years,55,75,65,45852,Darkness,No,No,0.25in,8-12in,8,12,Yes,Yes,28,35,80-120 days,0.5-1ft,0.5-1ft,Full Sun-Partial Sun,Moderate,Low,Moderate,Moderate,Frost Tolerant,Low,Moderate,Medium,No,No,,,1,head/plant,Medium,No (Self-pollinating),Cool weather is required for heading and developing red color.,,0
,Chinese Celery,Kintsai,Apium graveolens var. secalinum,Apiaceae,Annual,Upright,Open-pollinated,,Asian Seed Suppliers,,Very Small,3-5 years,60,75,70,14-21,Light,No,No,Surface Sown,4-6in,4,6,"No, transplant recommended",Yes,70,84,90-110 days,1-2ft,0.5-1ft,Full Sun-Partial Sun,High,High,Low,Low,Frost Tolerant,Low,Low,Medium,No,No,,,Continuous,stalks,Short,No (Self-pollinating),Thinner and more strongly flavored than Western celery.,,[0.25;0.5;0.5;0.25]
,Chinese Eggplant,Long Purple,Solanum melongena,Solanaceae,Annual,Bush,"Open-pollinated, Hybrid",,Asian Seed Suppliers,,Medium,4-6 years,75,90,85,45852,Darkness,No,No,0.25in,24-36in,24,36,"No, transplant recommended",Yes,42,56,60-90 days,2-4ft,2-3ft,Full Sun,Moderate-High,High,Moderate,Moderate,Frost Tender,High,Moderate,Low,"Yes, for heavy fruiting",No,,,45792,fruits/plant,Short,No (Self-pollinating),Typically more slender and less bitter than globe eggplants.,,[0.5;0.75;0.75;0.75;0.5]
,Chives,Common Chives,Allium schoenoprasum,Amaryllidaceae,Perennial,Clumping,Heirloom,,General,,Small,2-3 years,60,70,65,14-21,Light,No,No,0.25in,6-8in,6,8,Yes,Yes,28,42,60-90 days,0.5-1ft,0.5-1ft,Full Sun-Partial Sun,Low-Moderate,Low,High,High,Very Hardy,High,High,Low,No,Yes (cut back),,,Continuous,leaves,Short,Yes (bees, for seed saving),Divide clumps every 3-4 years.,[0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5]
,Cilantro,,Coriandrum sativum,Apiaceae,Annual,Bush,Open-pollinated,,General,,Medium,1-2 years,50,75,65,45852,Darkness,No,No,0.25-0.5in,4-6in,4,6,Yes,"No, bolts easily",,,,"30-45 (leaves), 90 (seeds)",0.5-1ft,0.5-1ft,Partial Sun-Full Sun,Moderate,Low,High,High,Frost Tolerant,Low,Low,Very High,No,Short,,,"Continuous (leaves), Single (seeds)",Short,No (Self-pollinating),Bolts quickly in heat. Succession sow.,,[0.5;1;0.5]
,Cilantro (Vietnamese),Culantro,Eryngium foetidum,Apiaceae,Perennial (grown as annual),Rosette,Heirloom,,Asian Seed Suppliers,,Small,1-2 years,70,90,80,14-28,Light,No,No,0.25in,6-12in,6,12,Yes,Yes,28,42,60-90 days,0.5-1ft,0.5-1ft,Partial Shade,High,Low,High,High,Frost Tender,Very High,Moderate,Low,No,Yes (remove flower stalks),,,Continuous,leaves,Short,No (Self-pollinating),Stronger flavor than regular cilantro and more heat tolerant.,,[0.5;1;0.5]
,Collard Greens,,Brassica oleracea var. viridis,Brassicaceae,Biennial (grown as annual),Upright,"Open-pollinated, Heirloom",,General,,Medium,4-5 years,45,85,70,45787,Darkness,No,No,0.25-0.5in,12-18in,12,18,Yes,Yes,28,42,60-80 days,1-3ft,1-2ft,Full Sun,Moderate,Moderate,High,High,Very Hardy,Moderate,High,Low,No,Yes (harvest bottom leaves),,,Continuous,leaves,Medium,Yes (bees, for seed saving),Flavor is sweetened by frost.,[0.25;0.4;0.5;0.5;0.5;0.4;0.3;0.25]
,Cowpeas,Black-eyed Pea,Vigna unguiculata,Fabaceae,Annual,"Bush, Vining",Heirloom,,General,,Medium,3-4 years,70,95,85,45852,Darkness,No,No,1in,4-8in,4,8,Yes,"No, direct seed preferred",,,,60-90 days,1-3ft,1-3ft,Full Sun,Low-Moderate,Low,High,High,Frost Tender,Very High,Very High,Low,"No (bush), Yes (vining)",Long,,,0.5-1,lb/plant,"Short (fresh), Long (dried)",No (Self-pollinating),Very heat and drought tolerant.,[0.25;0.25]
,Cucumber,,Cucumis sativus,Cucurbitaceae,Annual,"Vining, Bush","Open-pollinated, Hybrid",,General,,Medium-Large,3-5 years,65,90,85,45726,Darkness,No,No,0.5-1in,"12-24in (bush), 36-60in (vining)",12,60,Yes,"Yes, with care",21,28,50-70 days,"1-2ft (bush), 6-10ft+ (vining)","2-4ft (bush), 3-6ft+ (vining)",Full Sun,High,High,Moderate,Moderate,Frost Tender,Moderate,Low,High,Yes (vining),No,,,10-20+,fruits/plant,Short,Yes (bees required),"Pick fruit when young and firm. Good companions: Beans, Corn, Radishes.",,[1;2;2.5;3;3;2.5;2;1.5;1]
,Daikon Radish,,Raphanus sativus var. longipinnatus,Brassicaceae,Annual,Root,Open-pollinated,,Asian Seed Suppliers,,Medium,3-4 years,45,85,65,45852,Darkness,No,No,0.5-1in,4-6in,4,6,Yes,"No, direct seed preferred",,,,60-80 days,1-2ft,0.5-1ft,Full Sun-Partial Sun,Moderate,Low,High,High,Frost Tolerant,Low,Low,Medium,No,Short-Medium,,,1,root/plant,Medium,No (Self-pollinating),Requires deep,0
,Dandelion Greens,,Taraxacum officinale,Asteraceae,Perennial,Rosette,"Wild, Heirloom",,General,,Small,3-5 years,50,70,60,14-21,Light,No,No,0.25in,6-12in,6,12,Yes,Yes,,,,30-60 days,0.5-1ft,0.5-1ft,Full Sun-Partial Sun,Moderate,Low,High,High,Very Hardy,High,High,Low,No,Long,,,Continuous,leaves,Short,No (Self-pollinating, apomixis),[0.25;0.25;0.25]
,Daylily (Edible),Stella de Oro,Hemerocallis spp.,Asphodelaceae,Perennial,Clumping,Heirloom,,General,,Divisions,N/A,50,80,65,N/A,N/A,No,No,N/A (divisions),12-18in,12,18,"No, from divisions",Yes (divisions),,,,60-90 days,1-3ft,1-2ft,Full Sun-Partial Sun,Moderate,Low,High,High,Very Hardy,High,High,Low,No,Short (Spring/Summer),,,Varies,buds/flowers,Short,Yes (insect pollinated),Eat unopened flower buds and petals. Ensure species is edible.,[5;10;10;5]
,Dill,Dukat,Anethum graveolens,Apiaceae,Annual,Upright,Heirloom,,General,,Small,1-2 years,60,75,65,45951,Darkness,No,No,0.25in,6-12in,6,12,Yes,"Yes, with care",21,28,"40-60 (leaves), 90 (seed)",2-3ft,0.5-1ft,Full Sun,Moderate,Low,High,High,Frost Tolerant,Low,Low,High,No,No,,,Continuous,"leaves, seeds",Short,No (Self-pollinating),Readily self-sows.,,[0.5;0.5;0.5]
,Edamame (Soybeans),,Glycine max,Fabaceae,Annual,Bush,"Open-pollinated, Hybrid",,General,,Large,3-4 years,65,85,75,45852,Darkness,No,No,1in,4-6in,4,6,Yes,"No, direct seed preferred",,,75-90 days,2-3ft,1-2ft,Full Sun,Moderate,Low,Moderate,Moderate,Frost Tender,Moderate,Moderate,Low,No,No,,,0.5-1,lb/plant,Short,No (Self-pollinating),Harvest when pods are plump and green.,,[1.5]
,Edible Chrysanthemum,Shungiku,Glebionis coronaria,Asteraceae,Annual,Bush,Open-pollinated,,Asian Seed Suppliers,,Small,2-3 years,50,70,60,45852,Light,No,No,0.25-0.5in,6-12in,6,12,Yes,Yes,21,28,40-60 days,1-2ft,1-1.5ft,Full Sun-Partial Sun,Moderate,Low,Moderate,Moderate,Frost Tolerant,Moderate,Low,High,No,Yes (pinching),,,Continuous,leaves/stems,Short,No (Self-pollinating),Harvest young leaves and stems. Becomes bitter after flowering.,,[0.5;1;1;0.5]
,Eggplant,,Solanum melongena,Solanaceae,Annual,Bush,"Open-pollinated, Hybrid",,General,,Medium,4-6 years,75,90,85,45852,Darkness,No,No,0.25in,24-36in,24,36,"Yes, but transplanting recommended",Yes,42,56,70-100 days,2-4ft,2-3ft,Full Sun,Moderate-High,High,Moderate,Moderate,Frost Tender,High,Moderate,Low,"Yes, for heavy fruiting",No,,,45726,fruits/plant,Short,No (Self-pollinating),Loves heat.,,[1;1.5;1.5;1;0.5]
,Eggplant,Black Beauty,Solanum melongena,Solanaceae,Annual,Bush,Heirloom,,General,,Medium,4-6 years,75,90,85,45852,Darkness,No,No,0.25in,24-36in,24,36,"No, transplant recommended",Yes,42,56,70-100 days,2-4ft,2-3ft,Full Sun,Moderate-High,High,Moderate,Moderate,Frost Tender,High,Moderate,Low,"Yes, for heavy fruiting",No,,,45726,fruits/plant,Short,No (Self-pollinating),Classic large, oval eggplant variety.,[1;1.5;1.5;1;0.5]
,Elephant Garlic,,Allium ampeloprasum var. ampeloprasum,Amaryllidaceae,Biennial (grown as annual),Bulb,Heirloom,,General,,Clove,N/A,40,60,50,N/A,N/A,Yes (chilling),No,3-4in,8-12in,8,12,"No, from clove",Yes (from clove),,,,270-300 days,2-4ft,1-2ft,Full Sun,Moderate,Moderate,High,High,Frost Tolerant,Moderate,Moderate,Low,No,Single harvest,,,1,large bulb/plant,Long,No (Asexual reproduction),Technically a type of leek with a very mild garlic flavor.,0
,Endive,Green Curled Endive,Cichorium endivia,Asteraceae,Annual (biennial),Rosette,Heirloom,,General,,Small,4-5 years,55,75,65,45852,Darkness,No,No,0.25in,8-12in,8,12,Yes,Yes,28,35,80-90 days,0.5-1ft,1-1.5ft,Full Sun-Partial Sun,Moderate,Low,Moderate,Moderate,Frost Tolerant,Low,Moderate,Medium,No,Yes (blanching),,,1,head/plant,Medium,No (Self-pollinating),Blanching the inner leaves reduces bitterness.,,0
,Escarole,Full Heart Batavian,Cichorium endivia var. latifolium,Asteraceae,Annual (biennial),Rosette,Heirloom,,General,,Small,4-5 years,55,75,65,45852,Darkness,No,No,0.25in,8-12in,8,12,Yes,Yes,28,35,80-90 days,0.5-1ft,1-1.5ft,Full Sun-Partial Sun,Moderate,Low,Moderate,Moderate,Frost Tolerant,Low,Moderate,Medium,No,Yes (blanching),,,1,head/plant,Medium,No (Self-pollinating),A broad-leaved variety of endive with less bitterness.,,0
,Fennel,Florence Fennel,Foeniculum vulgare var. azoricum,Apiaceae,Annual,Upright,Open-pollinated,,General,,Medium,3-4 years,60,75,65,45852,Darkness,No,No,0.25-0.5in,6-10in,6,10,Yes,"Yes, with care",28,35,60-90 days,1-2ft,0.5-1ft,Full Sun,Moderate,Low,High,High,Frost Tolerant,Moderate,Low,High,No,Yes (hilling to blanch bulb),,,1,bulb/plant,Short,No (Self-pollinating),Can bolt in hot weather.,,0
,Feverfew,,Tanacetum parthenium,Asteraceae,Perennial,Bush,Heirloom,,General,,Small,2-3 years,60,70,65,14-21,Light,No,No,Surface,12-18in,12,18,Yes,Yes,28,42,60-90 days,1-2ft,1-1.5ft,Full Sun-Partial Sun,Low,Low,High,High,Frost Tolerant,Very High,Very High,Low,No,Yes (deadheading),,,Continuous,flowers/leaves,Short,No (Self-pollinating),Readily self-seeds and can become weedy.,,[0.5;0.5;0.5;0.5]
,Gai Lan (Chinese Broccoli),,Brassica oleracea var. alboglabra,Brassicaceae,Annual,Upright,Open-pollinated,,Asian Seed Suppliers,,Small,3-5 years,50,80,70,45852,Darkness,No,No,0.25-0.5in,6-12in,6,12,Yes,Yes,21,28,50-70 days,1-2ft,0.5-1ft,Full Sun-Partial Sun,Moderate,Moderate,High,High,Frost Tolerant,Moderate,Moderate,Low,No,Yes (harvest stems before flowers open),,,Continuous,stalks,Short,No (Self-pollinating),Harvest just as flower buds appear.,,[0.25;0.3;0.3;0.25]
